,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
21666,3309473176,2458907334,Finchley,KhanUKIP,1003.0
21600,3314765213,2458907334,Finchley,KhanUKIP,1003.0
23156,2987619383,2458907334,Finchley,KhanUKIP,1003.0
23178,3308172797,2458907334,Finchley,KhanUKIP,1003.0
21668,3260865698,2458907334,Finchley,KhanUKIP,1003.0
23842,3307489691,2458907334,Finchley,KhanUKIP,1003.0
21478,3025617429,2458907334,Finchley,KhanUKIP,1003.0
22572,3308952671,2458907334,Finchley,KhanUKIP,1003.0
23924,3306984341,2458907334,Finchley,KhanUKIP,1003.0
24006,3306744813,2458907334,Finchley,KhanUKIP,1003.0
23986,3306832049,2458907334,Finchley,KhanUKIP,1003.0
22508,3308942769,2458907334,Finchley,KhanUKIP,1003.0
21426,3308315669,2458907334,Finchley,KhanUKIP,1003.0
21818,3309316799,2458907334,Finchley,KhanUKIP,1003.0
23076,3307994278,2458907334,Finchley,KhanUKIP,1003.0
23998,3306812429,2458907334,Finchley,KhanUKIP,1003.0
21822,2964394701,2458907334,Finchley,KhanUKIP,1003.0
23072,3045456810,2458907334,Finchley,KhanUKIP,1003.0
21826,3309458638,2458907334,Finchley,KhanUKIP,1003.0
24890,2655180373,2458907334,Finchley,KhanUKIP,1003.0
22748,3245776227,2458907334,Finchley,KhanUKIP,1003.0
21744,3309408441,2458907334,Finchley,KhanUKIP,1003.0
22452,3308946933,2458907334,Finchley,KhanUKIP,1003.0
23210,3308051865,2458907334,Finchley,KhanUKIP,1003.0
21406,3309794548,2458907334,Finchley,KhanUKIP,1003.0
21402,3309871762,2458907334,Finchley,KhanUKIP,1003.0
22754,3308818402,2458907334,Finchley,KhanUKIP,1003.0
22438,3309067606,2458907334,Finchley,KhanUKIP,1003.0
23706,3307457937,2458907334,Finchley,KhanUKIP,1003.0
22758,3308632041,2458907334,Finchley,KhanUKIP,1003.0
21398,3309521843,2458907334,Finchley,KhanUKIP,1003.0
21396,3309062410,2458907334,Finchley,KhanUKIP,1003.0
21430,3309694252,2458907334,Finchley,KhanUKIP,1003.0
21432,3309655751,2458907334,Finchley,KhanUKIP,1003.0
23204,3308123309,2458907334,Finchley,KhanUKIP,1003.0
22514,3309309533,2458907334,Finchley,KhanUKIP,1003.0
22570,3308906525,2458907334,Finchley,KhanUKIP,1003.0
22562,3308869487,2458907334,Finchley,KhanUKIP,1003.0
22556,3310623341,2458907334,Finchley,KhanUKIP,1003.0
21462,3309567569,2458907334,Finchley,KhanUKIP,1003.0
23756,3338918758,2458907334,Finchley,KhanUKIP,1003.0
23194,3307971131,2458907334,Finchley,KhanUKIP,1003.0
23094,3308095367,2458907334,Finchley,KhanUKIP,1003.0
23944,3306878716,2458907334,Finchley,KhanUKIP,1003.0
21460,3309620573,2458907334,Finchley,KhanUKIP,1003.0
21454,3309387107,2458907334,Finchley,KhanUKIP,1003.0
23736,3307444335,2458907334,Finchley,KhanUKIP,1003.0
22726,3308783243,2458907334,Finchley,KhanUKIP,1003.0
21754,3310842640,2458907334,Finchley,KhanUKIP,1003.0
21758,3309385887,2458907334,Finchley,KhanUKIP,1003.0
23200,3308182822,2458907334,Finchley,KhanUKIP,1003.0
23960,3309073456,2458907334,Finchley,KhanUKIP,1003.0
22552,3308896319,2458907334,Finchley,KhanUKIP,1003.0
23964,3243585351,2458907334,Finchley,KhanUKIP,1003.0
22526,3311220364,2458907334,Finchley,KhanUKIP,1003.0
23078,3308288895,2458907334,Finchley,KhanUKIP,1003.0
22742,3308690817,2458907334,Finchley,KhanUKIP,1003.0
21650,3308047593,2458907334,Finchley,KhanUKIP,1003.0
22048,3309178179,2458907334,Finchley,KhanUKIP,1003.0
20998,3310312366,2458907334,Finchley,KhanUKIP,1003.0
